,Unnamed: 0,release,Title,genre,Language,Cast,Ratings,release_year
7814,7814,03/29/2012 ,Young and Wild,"Comedy, Drama",Spanish,"['Alicia Rodríguez', 'María Gracia Omegna', 'Felipe Pinto', 'Ingrid Isensee', 'Aline Küppenheim', 'Alejandro Goic', 'Tomás de Pablo', 'Pablo Krögh', 'Hernán Lacalle']",6.4,2012
7815,7815,12/17/1957 ,Witness for the Prosecution,"Drama, Mystery, Crime",English,"['Charles Laughton', 'Tyrone Power', 'Marlene Dietrich', 'Elsa Lanchester', 'John Williams', 'Ian Wolfe', 'Torin Thatcher', 'Norma Varden', 'Henry Daniell']",8.2,1957
7816,7816,05-12-2006,Just My Luck,"Comedy, Drama, Family, Fantasy, Romance",English,"['Lindsay Lohan', 'Chris Pine', 'Samaire Armstrong', 'Bree Turner', 'Faizon Love', 'Missi Pyle', 'Makenzie Vega', 'Carlos Ponce', 'Danny Jones']",6.1,2006
7817,7817,04/30/1984 ,"Promiscuity, the Street Kids of Katia",Drama,Portuguese,"['Ênio Gonçalves', 'Cristina Martinez', 'Sérgio Hingst', 'Daliléia Ayala', 'Livi Bianco', 'Rubens Pignatari', 'André Loureiro', 'Mara Carmem', 'Malcolm Carlos Costa']",5.6,1984
7818,7818,11-02-2000,What Lies Beneath,"Drama, Horror, Mystery, Thriller",English,"['Harrison Ford', 'Michelle Pfeiffer', 'Diana Scarwid', 'James Remar', 'Miranda Otto', 'Ray Baker', 'Wendy Crewson', 'Amber Valletta', 'Katharine Towne']",6.4,2000
7819,7819,05/27/1994 ,Dazed and Confused,Comedy,English,"['Jason London', 'Joey Lauren Adams', 'Matthew McConaughey', 'Rory Cochrane', 'Milla Jovovich', 'Shawn Andrews', 'Adam Goldberg', 'Anthony Rapp', 'Sasha Jenson']",7.3,1994
7820,7820,08/15/2014 ,Life After Beth,"Romance, Comedy, Horror",English,"['Aubrey Plaza', 'Dane DeHaan', 'John C. Reilly', 'Molly Shannon', 'Cheryl Hines', 'Paul Reiser', 'Matthew Gray Gubler', 'Anna Kendrick', 'Eva La Dare']",5.5,2014
7821,7821,11/14/1996 ,Ransom,"Action, Thriller",English,"['Mel Gibson', 'Rene Russo', 'Gary Sinise', 'Delroy Lindo', 'Lili Taylor', 'Brawley Nolte', 'Liev Schreiber', 'Donnie Wahlberg', 'Evan Handler']",6.7,1996
7822,7822,04-01-2020,The Operative,"Drama, Thriller",English,"['Diane Kruger', 'Martin Freeman', 'Cas Anvar', 'Werner Daehn', 'Liron Levo', 'Hadi Khanjanpour', 'Maria Gnecchi', 'Erez Ben-Ezra', 'Julia Schneider']",5.8,2020
7823,7823,02/15/1985 ,Judgment at Nuremberg,"Drama, History, War",English,"['Spencer Tracy', 'Burt Lancaster', 'Richard Widmark', 'Marlene Dietrich', 'Maximilian Schell', 'Judy Garland', 'Montgomery Clift', 'William Shatner', 'Werner Klemperer']",8.0,1985
7824,7824,12/19/1968 ,Chitty Chitty Bang Bang,"Family, Music, Adventure, Fantasy, Comedy",English,"['Dick Van Dyke', 'Sally Ann Howes', 'Lionel Jeffries', 'Gert Fröbe', 'Anna Quayle', 'Benny Hill', 'James Robertson Justice', 'Robert Helpmann', 'Barbara Windsor']",6.8,1968
7825,7825,10-01-2021,Bingo Hell,"Thriller, Horror",English,"['Adriana Barraza', 'L. Scott Caldwell', 'Joshua Caleb Johnson', 'Richard Brake', 'Clayton Landey', 'Jonathan Medina', 'Bertila Damas', 'Grover Coulson', 'David Jensen']",4.9,2021
7826,7826,04/15/1983 ,Lone Wolf McQuade,"Action, Crime",English,"['Chuck Norris', 'David Carradine', 'Barbara Carrera', 'Leon Isaac Kennedy', 'Robert Beltran', 'L.Q. Jones', 'Dana Kimmell', 'R. G. Armstrong', 'Jorge Cervera Jr.']",6.5,1983
7827,7827,05/23/2003 ,Scooby-Doo! and the Legend of the Vampire,"Family, Animation, Comedy, Fantasy, Music, Mystery",English,"['Casey Kasem', 'Jane Wiedlin', 'Nicole Jaffe', 'Jennifer Hale', 'Frank Welker', 'Heather North', 'Jeff Bennett', 'Kimberly Brooks', 'Tom Kenny']",7.2,2003
7828,7828,12/18/2014 ,The Invisible Boy,"Comedy, Adventure, Sci-Fi, Fantasy",Italian,"['Ludovico Girardello', 'Valeria Golino', 'Fabrizio Bentivoglio', 'Noa Zatta', 'Christo Jivkov', 'Kseniya Rappoport', 'Assil Kandil', 'Falippo Valese', 'Enea Barozzi']",6.3,2014
7829,7829,09-02-2021,Afterlife of the Party,"Fantasy, Comedy, Drama",English,"['Victoria Justice', 'Midori Francis', 'Robyn Scott', 'Timothy Renouf', 'Adam Garcia', 'Gloria García', 'Myfanwy Waring', 'Spencer Sutherland']",6.8,2021
